,Number of Arguemts,match count,accuracy (%)
0,0,59,38.311688311688314
1,25,55,35.714285714285715
2,50,60,38.96103896103896
3,75,61,39.61038961038961
4,100,60,38.96103896103896
5,125,62,40.25974025974026
6,150,63,40.90909090909091
7,200,64,41.55844155844156
8,250,62,40.25974025974026
